date,OilRmb,SZ399001,SG000001,HS000300,CI005001,CI005002,CI005003,CI005005
5/26/2005,390.402505,2839.55,1058.87,857.331,767.6773,802.1524,821.0101,806.7949
5/27/2005,392.719925,2806.11,1051.95,849.508,763.2448,799.5277,812.8867,807.0208
5/30/2005,394.12693,2794.2,1060.16,855.612,770.1369,804.4166,825.0329,814.8384
5/31/2005,393.9614,2801.66,1060.74,855.946,773.5508,804.2989,824.8421,816.3695
6/1/2005,408.03145,2716.79,1039.19,837.532,756.9516,760.6236,802.0359,810.4229
6/2/2005,415.728595,2630.61,1016.06,818.379,741.7545,732.4439,791.5962,800.5545
6/3/2005,419.78408,2627.02,1013.64,818.033,734.4956,730.1182,786.0583,796.3298
6/6/2005,423.59127,2729.2,1034.38,838.997,753.4868,742.1554,804.676,808.6354
6/7/2005,419.94961,2709.48,1030.94,837.282,749.895,741.3443,805.3416,808.8834
6/8/2005,415.563065,2936.57,1115.58,905.773,815.8681,804.8982,874.5999,876.088
6/9/2005,418.377075,2951.14,1131.05,912.604,839.3841,819.404,881.8498,880.0383
6/10/2005,419.94961,2882.27,1108.29,894.556,819.0103,785.8822,857.4599,861.2996
6/13/2005,420.694495,2879.77,1106.29,892.959,821.6844,778.0166,859.8091,858.1207
6/14/2005,430.791825,2853.52,1093.46,883.537,813.0973,762.5918,843.2346,858.1867
6/15/2005,432.52989,2795.06,1072.84,866.834,794.8678,741.6423,819.461,850.1745
6/16/2005,415.31477,2823.82,1086.01,879.237,805.319,753.9624,827.9733,858.7001
6/17/2005,426.90187,2790.65,1085.61,880.345,797.4431,748.4305,827.3236,870.1678
6/20/2005,436.83367,2868.04,1115.62,906.255,820.675,782.5605,858.2525,884.795
6/21/2005,437.66132,2829.62,1101.49,896.166,807.3769,778.4235,848.5926,869.3162
6/22/2005,433.19201,2842.46,1102.03,900.646,804.8445,767.2349,851.8554,866.9831
6/23/2005,436.088785,2839.51,1093.7,893.572,798.9241,768.146,841.879,860.9102
6/24/2005,441.63404,2848.34,1101.88,898.301,805.9536,769.562,847.4031,866.3264
6/27/2005,449.08289,2914.97,1124.64,916.043,820.9788,788.533,866.4863,876.1567
